"","issue_age","lx_VL","lx_L","lx_M","lx_H","qx_VL","qx_L","qx_M","qx_H"
"1",26,6734,5259,5721,2640,0.00697950697950698,0.0104582620270013,0.0145079531550428,0.0159090909090909
"2",27,6694,5132,5738,2545,0.00985957573946818,0.0101325019485581,0.0151620773788777,0.0212180746561886
"3",28,6793,5238,5482,2705,0.00883262181657589,0.00954562810232913,0.0182415176942722,0.0166358595194085
"4",29,6748,5284,5491,2575,0.0102252519264967,0.0109765329295988,0.0142050628300856,0.0198058252427184
"5",30,7059,5333,5345,2581,0.0127496812579686,0.00918807425464092,0.0162768942937325,0.0147229755908563
"6",31,6950,5397,5438,2651,0.0117985611510791,0.0118584398740041,0.0152629643251195,0.016597510373444
"7",32,6842,5416,5324,2597,0.0138848289973692,0.0149556868537666,0.0197220135236664,0.0192529842125529
"8",33,6865,5451,5232,2557,0.0113619810633649,0.014125848468171,0.0160550458715596,0.0246382479468127
"9",34,7180,5397,5208,2513,0.0129526462395543,0.015934778580693,0.0207373271889401,0.0194986072423398
"10",35,11595,9059,7741,3680,0.0138852953859422,0.0139088199580528,0.0202816173620979,0.0203804347826087
"11",36,11800,9235,7735,3737,0.0128813559322034,0.0167839740119112,0.0193923723335488,0.0232807064490233
"12",37,11820,9040,7815,3683,0.0156514382402707,0.0178097345132743,0.0212412028150992,0.0257941895194135
"13",38,12046,9207,7649,3594,0.0154408102274614,0.0219398283914413,0.0265394169172441,0.0283806343906511
"14",39,11938,9006,7569,3677,0.0170882894957279,0.0216522318454364,0.024441802087462,0.0266521620886592
"15",40,11869,9232,7579,3632,0.0205577554975145,0.02328856152513,0.030215067950917,0.0297356828193833
"16",41,11853,9127,7452,3551,0.0153547625073821,0.0203790949928783,0.0409286097691895,0.0442128977752746
"17",42,12023,9048,7475,3645,0.0167179572486068,0.019893899204244,0.0501672240802676,0.0438957475994513
"18",43,12098,9294,7331,3675,0.0180195073565879,0.0199053152571552,0.0518346746692129,0.0481632653061225
"19",44,11983,9199,7432,3640,0.0191104064090795,0.0245678878138928,0.0582615715823466,0.0472527472527473
"20",45,12010,9298,7313,3450,0.0227310574521232,0.0237685523768552,0.0608505401340079,0.0585507246376812
"21",46,11889,9330,7359,3525,0.0235511817646564,0.0278670953912111,0.0687593423019432,0.0561702127659574
"22",47,12065,9127,7421,3672,0.0271031910484874,0.0284869069792922,0.071553698962404,0.0593681917211329
"23",48,12024,9390,7179,3582,0.0262807717897538,0.0315228966986155,0.0764730463852904,0.0714684533780011
"24",49,12026,9107,7283,3594,0.0297688341925827,0.0332711101350609,0.0854043663325553,0.0759599332220367
"25",50,12067,9322,7213,3594,0.0278445346813624,0.0342201244368161,0.0902537085817274,0.0792988313856427
"26",51,12130,9295,7289,3527,0.0340478153338829,0.0392684238838085,0.0956235423240499,0.0876098667422739
"27",52,12024,9283,7362,3590,0.0385063206919494,0.038241947646235,0.104862809019288,0.0852367688022284
"28",53,12090,9242,7404,3489,0.0323407775020678,0.0413330447954988,0.117504051863857,0.106620808254514
"29",54,12103,9154,7298,3487,0.0384202263901512,0.0435875027310465,0.128665387777473,0.10496128477201
"30",55,12159,9126,7423,3480,0.0373385969240892,0.0468989699758931,0.150208810453994,0.117241379310345
"31",56,4528,3579,2582,1249,0.036660777385159,0.0396758871193071,0.133617350890782,0.119295436349079
"32",57,4609,3526,2686,1294,0.0416576263831634,0.0399886557005105,0.13626209977662,0.122874806800618
"33",58,4455,3497,2729,1354,0.0399551066217733,0.0460394623963397,0.142909490655918,0.141063515509601
"34",59,4435,3488,2797,1358,0.0473506200676437,0.0432912844036697,0.174830175187701,0.136229749631811
"35",60,4430,3430,2743,1281,0.0485327313769752,0.0469387755102041,0.18957345971564,0.143637782982045
"36",61,4411,3486,2782,1382,0.045341192473362,0.0602409638554217,0.204529115744069,0.159913169319826
"37",62,4322,3459,2771,1291,0.0492827394724665,0.0659150043365134,0.215084806928907,0.176607281177382
"38",63,4388,3436,2864,1337,0.0626709206927985,0.0689755529685681,0.245810055865922,0.192221391174271
"39",64,4489,3413,2876,1321,0.0634885275116953,0.0761793143861705,0.248609179415855,0.210446631339894
"40",65,4295,3339,2875,1321,0.0626309662398137,0.0754716981132075,0.258086956521739,0.210446631339894
